country.value,indicator,date,value,countryiso3code
Brazil,GC.DOD.TOTL.GD.ZS,2023,83.0317498523878,BRA
Brazil,BN.CAB.XOKA.GD.ZS,2023,-1.27481070395724,BRA
Brazil,NY.GDP.MKTP.KD.ZG,2024,3.39586645454844,BRA
Brazil,FP.CPI.TOTL.ZG,2024,4.36746407652337,BRA
Brazil,SL.UEM.TOTL.ZS,2024,7.634,BRA
Brazil,GC.DOD.TOTL.GD.ZS,2024,,BRA
Brazil,BN.CAB.XOKA.GD.ZS,2024,-2.80783369862457,BRA
China,NY.GDP.MKTP.KD.ZG,2000,8.58643201808462,CHN
China,FP.CPI.TOTL.ZG,2000,0.347811226864587,CHN
China,SL.UEM.TOTL.ZS,2000,3.26,CHN
China,BN.CAB.XOKA.GD.ZS,2000,1.67667411710879,CHN
China,NY.GDP.MKTP.KD.ZG,2001,8.31263887091522,CHN
China,FP.CPI.TOTL.ZG,2001,0.719125609120114,CHN
China,SL.UEM.TOTL.ZS,2001,3.8,CHN
China,BN.CAB.XOKA.GD.ZS,2001,1.28417196444636,CHN
China,NY.GDP.MKTP.KD.ZG,2002,9.24339326638321,CHN
China,FP.CPI.TOTL.ZG,2002,-0.731970902350244,CHN
China,SL.UEM.TOTL.ZS,2002,4.24,CHN
China,BN.CAB.XOKA.GD.ZS,2002,2.37759984341841,CHN
China,NY.GDP.MKTP.KD.ZG,2003,10.1181928640117,CHN
China,FP.CPI.TOTL.ZG,2003,1.12760348729637,CHN
China,SL.UEM.TOTL.ZS,2003,4.58,CHN
China,BN.CAB.XOKA.GD.ZS,2003,2.55665409110255,CHN
China,NY.GDP.MKTP.KD.ZG,2004,10.1314073631003,CHN
China,FP.CPI.TOTL.ZG,2004,3.82463743108159,CHN
China,SL.UEM.TOTL.ZS,2004,4.49,CHN
China,BN.CAB.XOKA.GD.ZS,2004,3.47450259619584,CHN
China,NY.GDP.MKTP.KD.ZG,2005,11.458238455067,CHN
China,FP.CPI.TOTL.ZG,2005,1.77641407667571,CHN
China,SL.UEM.TOTL.ZS,2005,4.52,CHN
China,BN.CAB.XOKA.GD.ZS,2005,5.71199843031159,CHN
China,NY.GDP.MKTP.KD.ZG,2006,12.6746751655235,CHN
China,FP.CPI.TOTL.ZG,2006,1.6494309945586,CHN
China,SL.UEM.TOTL.ZS,2006,4.43,CHN
China,BN.CAB.XOKA.GD.ZS,2006,8.30532573537484,CHN
China,NY.GDP.MKTP.KD.ZG,2007,14.1499854947127,CHN
China,FP.CPI.TOTL.ZG,2007,4.81676767378834,CHN
China,SL.UEM.TOTL.ZS,2007,4.35,CHN
China,BN.CAB.XOKA.GD.ZS,2007,9.79958953536148,CHN
China,NY.GDP.MKTP.KD.ZG,2008,9.67024588602851,CHN
China,FP.CPI.TOTL.ZG,2008,5.92525137041092,CHN
China,SL.UEM.TOTL.ZS,2008,4.59,CHN
China,BN.CAB.XOKA.GD.ZS,2008,9.01086996317632,CHN
China,NY.GDP.MKTP.KD.ZG,2009,9.40269972778044,CHN
China,FP.CPI.TOTL.ZG,2009,-0.728165250932898,CHN
China,SL.UEM.TOTL.ZS,2009,4.72,CHN
China,BN.CAB.XOKA.GD.ZS,2009,4.68740638141982,CHN
China,NY.GDP.MKTP.KD.ZG,2010,10.5962719761682,CHN
China,FP.CPI.TOTL.ZG,2010,3.17532475269199,CHN
China,SL.UEM.TOTL.ZS,2010,4.53,CHN
China,BN.CAB.XOKA.GD.ZS,2010,3.8402567341525,CHN
China,NY.GDP.MKTP.KD.ZG,2011,9.4613358870736,CHN
China,FP.CPI.TOTL.ZG,2011,5.55389892257493,CHN
China,SL.UEM.TOTL.ZS,2011,4.55,CHN
China,BN.CAB.XOKA.GD.ZS,2011,1.77399724587567,CHN
China,NY.GDP.MKTP.KD.ZG,2012,7.85617427055587,CHN
China,FP.CPI.TOTL.ZG,2012,2.61952432645541,CHN
China,SL.UEM.TOTL.ZS,2012,4.58,CHN
China,BN.CAB.XOKA.GD.ZS,2012,2.48328422404794,CHN
China,NY.GDP.MKTP.KD.ZG,2013,7.77872409446717,CHN
China,FP.CPI.TOTL.ZG,2013,2.62105001748115,CHN
China,SL.UEM.TOTL.ZS,2013,4.6,CHN
China,BN.CAB.XOKA.GD.ZS,2013,1.52111320885029,CHN
China,NY.GDP.MKTP.KD.ZG,2014,7.46190028229434,CHN
China,FP.CPI.TOTL.ZG,2014,1.92164162788521,CHN
China,SL.UEM.TOTL.ZS,2014,4.63,CHN
China,BN.CAB.XOKA.GD.ZS,2014,2.21130586371267,CHN
China,NY.GDP.MKTP.KD.ZG,2015,6.97878002657477,CHN
China,FP.CPI.TOTL.ZG,2015,1.43702380935655,CHN
China,SL.UEM.TOTL.ZS,2015,4.65,CHN
China,BN.CAB.XOKA.GD.ZS,2015,2.59752794949746,CHN
China,NY.GDP.MKTP.KD.ZG,2016,6.77555562837017,CHN
China,FP.CPI.TOTL.ZG,2016,2.00000182191943,CHN
China,SL.UEM.TOTL.ZS,2016,4.56,CHN
China,BN.CAB.XOKA.GD.ZS,2016,1.67018709565352,CHN
China,NY.GDP.MKTP.KD.ZG,2017,6.8912663621211,CHN
China,FP.CPI.TOTL.ZG,2017,1.59313600071436,CHN
China,SL.UEM.TOTL.ZS,2017,4.47,CHN
China,BN.CAB.XOKA.GD.ZS,2017,1.50488723669316,CHN
China,NY.GDP.MKTP.KD.ZG,2018,6.75671800166833,CHN
China,FP.CPI.TOTL.ZG,2018,2.07479039965576,CHN
China,SL.UEM.TOTL.ZS,2018,4.31,CHN
China,BN.CAB.XOKA.GD.ZS,2018,0.170563391928727,CHN
China,NY.GDP.MKTP.KD.ZG,2019,6.06850235053705,CHN
China,FP.CPI.TOTL.ZG,2019,2.89923416358227,CHN
China,SL.UEM.TOTL.ZS,2019,4.56,CHN
China,BN.CAB.XOKA.GD.ZS,2019,0.706790487310523,CHN
China,NY.GDP.MKTP.KD.ZG,2020,2.34018843078414,CHN
China,FP.CPI.TOTL.ZG,2020,2.41942189457782,CHN
China,SL.UEM.TOTL.ZS,2020,5.0,CHN
China,BN.CAB.XOKA.GD.ZS,2020,1.65930095801393,CHN
China,NY.GDP.MKTP.KD.ZG,2021,8.57008513166322,CHN
China,FP.CPI.TOTL.ZG,2021,0.981015135544882,CHN
China,SL.UEM.TOTL.ZS,2021,4.55,CHN
China,BN.CAB.XOKA.GD.ZS,2021,1.93875176197337,CHN
China,NY.GDP.MKTP.KD.ZG,2022,3.1341888719577,CHN
China,FP.CPI.TOTL.ZG,2022,1.97357555739051,CHN
China,SL.UEM.TOTL.ZS,2022,4.98,CHN
China,BN.CAB.XOKA.GD.ZS,2022,2.42059259149418,CHN
