country.value,countryiso3code,date,value,indicator
Brazil,BRA,2022,-2.15975658541159,BN.CAB.XOKA.GD.ZS
Brazil,BRA,2023,3.24165532906981,NY.GDP.MKTP.KD.ZG
Brazil,BRA,2023,4.59356282283204,FP.CPI.TOTL.ZG
Brazil,BRA,2023,7.947,SL.UEM.TOTL.ZS
Brazil,BRA,2023,83.0317498523878,GC.DOD.TOTL.GD.ZS
Brazil,BRA,2023,-1.27481070395724,BN.CAB.XOKA.GD.ZS
Brazil,BRA,2024,3.39586645454844,NY.GDP.MKTP.KD.ZG
Brazil,BRA,2024,4.36746407652337,FP.CPI.TOTL.ZG
Brazil,BRA,2024,7.634,SL.UEM.TOTL.ZS
Brazil,BRA,2024,,GC.DOD.TOTL.GD.ZS
Brazil,BRA,2024,-2.80783369862457,BN.CAB.XOKA.GD.ZS
China,CHN,2000,8.58643201808462,NY.GDP.MKTP.KD.ZG
China,CHN,2000,0.347811226864587,FP.CPI.TOTL.ZG
China,CHN,2000,3.26,SL.UEM.TOTL.ZS
China,CHN,2000,1.67667411710879,BN.CAB.XOKA.GD.ZS
China,CHN,2001,8.31263887091522,NY.GDP.MKTP.KD.ZG
China,CHN,2001,0.719125609120114,FP.CPI.TOTL.ZG
China,CHN,2001,3.8,SL.UEM.TOTL.ZS
China,CHN,2001,1.28417196444636,BN.CAB.XOKA.GD.ZS
China,CHN,2002,9.24339326638321,NY.GDP.MKTP.KD.ZG
China,CHN,2002,-0.731970902350244,FP.CPI.TOTL.ZG
China,CHN,2002,4.24,SL.UEM.TOTL.ZS
China,CHN,2002,2.37759984341841,BN.CAB.XOKA.GD.ZS
China,CHN,2003,10.1181928640117,NY.GDP.MKTP.KD.ZG
China,CHN,2003,1.12760348729637,FP.CPI.TOTL.ZG
China,CHN,2003,4.58,SL.UEM.TOTL.ZS
China,CHN,2003,2.55665409110255,BN.CAB.XOKA.GD.ZS
China,CHN,2004,10.1314073631003,NY.GDP.MKTP.KD.ZG
China,CHN,2004,3.82463743108159,FP.CPI.TOTL.ZG
China,CHN,2004,4.49,SL.UEM.TOTL.ZS
China,CHN,2004,3.47450259619584,BN.CAB.XOKA.GD.ZS
China,CHN,2005,11.458238455067,NY.GDP.MKTP.KD.ZG
China,CHN,2005,1.77641407667571,FP.CPI.TOTL.ZG
China,CHN,2005,4.52,SL.UEM.TOTL.ZS
China,CHN,2005,5.71199843031159,BN.CAB.XOKA.GD.ZS
China,CHN,2006,12.6746751655235,NY.GDP.MKTP.KD.ZG
China,CHN,2006,1.6494309945586,FP.CPI.TOTL.ZG
China,CHN,2006,4.43,SL.UEM.TOTL.ZS
China,CHN,2006,8.30532573537484,BN.CAB.XOKA.GD.ZS
China,CHN,2007,14.1499854947127,NY.GDP.MKTP.KD.ZG
China,CHN,2007,4.81676767378834,FP.CPI.TOTL.ZG
China,CHN,2007,4.35,SL.UEM.TOTL.ZS
China,CHN,2007,9.79958953536148,BN.CAB.XOKA.GD.ZS
China,CHN,2008,9.67024588602851,NY.GDP.MKTP.KD.ZG
China,CHN,2008,5.92525137041092,FP.CPI.TOTL.ZG
China,CHN,2008,4.59,SL.UEM.TOTL.ZS
China,CHN,2008,9.01086996317632,BN.CAB.XOKA.GD.ZS
China,CHN,2009,9.40269972778044,NY.GDP.MKTP.KD.ZG
China,CHN,2009,-0.728165250932898,FP.CPI.TOTL.ZG
China,CHN,2009,4.72,SL.UEM.TOTL.ZS
China,CHN,2009,4.68740638141982,BN.CAB.XOKA.GD.ZS
China,CHN,2010,10.5962719761682,NY.GDP.MKTP.KD.ZG
China,CHN,2010,3.17532475269199,FP.CPI.TOTL.ZG
China,CHN,2010,4.53,SL.UEM.TOTL.ZS
China,CHN,2010,3.8402567341525,BN.CAB.XOKA.GD.ZS
China,CHN,2011,9.4613358870736,NY.GDP.MKTP.KD.ZG
China,CHN,2011,5.55389892257493,FP.CPI.TOTL.ZG
China,CHN,2011,4.55,SL.UEM.TOTL.ZS
China,CHN,2011,1.77399724587567,BN.CAB.XOKA.GD.ZS
China,CHN,2012,7.85617427055587,NY.GDP.MKTP.KD.ZG
China,CHN,2012,2.61952432645541,FP.CPI.TOTL.ZG
China,CHN,2012,4.58,SL.UEM.TOTL.ZS
China,CHN,2012,2.48328422404794,BN.CAB.XOKA.GD.ZS
China,CHN,2013,7.77872409446717,NY.GDP.MKTP.KD.ZG
China,CHN,2013,2.62105001748115,FP.CPI.TOTL.ZG
China,CHN,2013,4.6,SL.UEM.TOTL.ZS
China,CHN,2013,1.52111320885029,BN.CAB.XOKA.GD.ZS
China,CHN,2014,7.46190028229434,NY.GDP.MKTP.KD.ZG
China,CHN,2014,1.92164162788521,FP.CPI.TOTL.ZG
China,CHN,2014,4.63,SL.UEM.TOTL.ZS
China,CHN,2014,2.21130586371267,BN.CAB.XOKA.GD.ZS
China,CHN,2015,6.97878002657477,NY.GDP.MKTP.KD.ZG
China,CHN,2015,1.43702380935655,FP.CPI.TOTL.ZG
China,CHN,2015,4.65,SL.UEM.TOTL.ZS
China,CHN,2015,2.59752794949746,BN.CAB.XOKA.GD.ZS
China,CHN,2016,6.77555562837017,NY.GDP.MKTP.KD.ZG
China,CHN,2016,2.00000182191943,FP.CPI.TOTL.ZG
China,CHN,2016,4.56,SL.UEM.TOTL.ZS
China,CHN,2016,1.67018709565352,BN.CAB.XOKA.GD.ZS
China,CHN,2017,6.8912663621211,NY.GDP.MKTP.KD.ZG
China,CHN,2017,1.59313600071436,FP.CPI.TOTL.ZG
China,CHN,2017,4.47,SL.UEM.TOTL.ZS
China,CHN,2017,1.50488723669316,BN.CAB.XOKA.GD.ZS
China,CHN,2018,6.75671800166833,NY.GDP.MKTP.KD.ZG
China,CHN,2018,2.07479039965576,FP.CPI.TOTL.ZG
China,CHN,2018,4.31,SL.UEM.TOTL.ZS
China,CHN,2018,0.170563391928727,BN.CAB.XOKA.GD.ZS
China,CHN,2019,6.06850235053705,NY.GDP.MKTP.KD.ZG
China,CHN,2019,2.89923416358227,FP.CPI.TOTL.ZG
China,CHN,2019,4.56,SL.UEM.TOTL.ZS
China,CHN,2019,0.706790487310523,BN.CAB.XOKA.GD.ZS
China,CHN,2020,2.34018843078414,NY.GDP.MKTP.KD.ZG
China,CHN,2020,2.41942189457782,FP.CPI.TOTL.ZG
China,CHN,2020,5.0,SL.UEM.TOTL.ZS
China,CHN,2020,1.65930095801393,BN.CAB.XOKA.GD.ZS
China,CHN,2021,8.57008513166322,NY.GDP.MKTP.KD.ZG
China,CHN,2021,0.981015135544882,FP.CPI.TOTL.ZG
China,CHN,2021,4.55,SL.UEM.TOTL.ZS
China,CHN,2021,1.93875176197337,BN.CAB.XOKA.GD.ZS
China,CHN,2022,3.1341888719577,NY.GDP.MKTP.KD.ZG
China,CHN,2022,1.97357555739051,FP.CPI.TOTL.ZG
China,CHN,2022,4.98,SL.UEM.TOTL.ZS
China,CHN,2022,2.42059259149418,BN.CAB.XOKA.GD.ZS
China,CHN,2023,5.41484330099675,NY.GDP.MKTP.KD.ZG
China,CHN,2023,0.234836828893051,FP.CPI.TOTL.ZG
China,CHN,2023,4.67,SL.UEM.TOTL.ZS
China,CHN,2023,1.4415829879426,BN.CAB.XOKA.GD.ZS
China,CHN,2024,4.9773565917572,NY.GDP.MKTP.KD.ZG
China,CHN,2024,0.218128938439177,FP.CPI.TOTL.ZG
China,CHN,2024,4.571,SL.UEM.TOTL.ZS
China,CHN,2024,2.2616499482671,BN.CAB.XOKA.GD.ZS
Germany,DEU,2000,2.87724595591061,NY.GDP.MKTP.KD.ZG
Germany,DEU,2000,1.44026838719741,FP.CPI.TOTL.ZG
Germany,DEU,2000,7.917,SL.UEM.TOTL.ZS
Germany,DEU,2000,-1.5131310276989,BN.CAB.XOKA.GD.ZS
Germany,DEU,2001,1.63654099437316,NY.GDP.MKTP.KD.ZG
Germany,DEU,2001,1.98385731334471,FP.CPI.TOTL.ZG
Germany,DEU,2001,7.773,SL.UEM.TOTL.ZS
Germany,DEU,2001,-0.17042466008937,BN.CAB.XOKA.GD.ZS
Germany,DEU,2002,-0.228310223930706,NY.GDP.MKTP.KD.ZG
Germany,DEU,2002,1.42080615551526,FP.CPI.TOTL.ZG
Germany,DEU,2002,8.482,SL.UEM.TOTL.ZS
Germany,DEU,2002,1.98424702046954,BN.CAB.XOKA.GD.ZS
Germany,DEU,2003,-0.529929010433477,NY.GDP.MKTP.KD.ZG
Germany,DEU,2003,1.03422218628562,FP.CPI.TOTL.ZG
Germany,DEU,2003,9.779,SL.UEM.TOTL.ZS
Germany,DEU,2003,1.53250948753762,BN.CAB.XOKA.GD.ZS
Germany,DEU,2004,1.16236825444811,NY.GDP.MKTP.KD.ZG
Germany,DEU,2004,1.66573696655992,FP.CPI.TOTL.ZG
Germany,DEU,2004,10.727,SL.UEM.TOTL.ZS
